Invoice Date,Service,Total,Group,Client Name,Qty,Notes
2026-01-05,Logo Design,"$250.00",,Maya Designs,1,Starter logo package
2026-01-08,GitHub Copilot,"$10.00",Software,,1,Monthly subscription
2026-01-12,Brand Strategy Session,"$400.00",,Bright Co.,1,2-hour workshop
2026-01-15,Adobe Creative Cloud,"$54.99",Software,,1,Monthly tool
2026-01-20,Website Redesign,"$1,800.00",,Ridge Bakery,1,Project milestone 1
2026-01-22,Coworking Space,"$180.00",Office,,1,January seat
2026-02-02,Notion Subscription,"$8.00",Software,,1,Monthly plan
2026-02-05,Website Redesign,"$1,200.00",,Ridge Bakery,1,Project milestone 2
2026-02-09,Social Media Pack,"$320.00",,Maya Designs,1,Instagram template set
2026-02-12,Coworking Space,"$180.00",Office,,1,February seat
2026-02-18,Content Writing,"$650.00",,Northwind Studio,1,Blog series
2026-02-20,Domain Renewal,"$18.00",Software,,1,Annual fee
2026-02-25,Logo Design,"$250.00",,Pebble Cafe,1,Quick logo refresh
